"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20250524","우이신설선","4.19민주묘지","3109","2596","20250527"
"20250524","경원선","가능","5688","5560","20250527"
"20250524","8호선","가락시장","6735","6954","20250527"
"20250524","3호선","가락시장","7474","6990","20250527"
"20250524","경부선","가산디지털단지","7634","9413","20250527"
"20250524","7호선","가산디지털단지","16339","14904","20250527"
"20250524","9호선","가양","17061","16461","20250527"
"20250524","우이신설선","가오리","3650","3449","20250527"
"20250524","경의선","가좌","4981","4736","20250527"
"20250524","분당선","가천대","7183","7005","20250527"
"20250524","경춘선","가평","3052","3408","20250527"
"20250524","경인선","간석","5104","4681","20250527"
"20250524","경춘선","갈매","2101","1822","20250527"
"20250524","2호선","강남","64393","63413","20250527"
"20250524","7호선","강남구청","11567","12736","20250527"
"20250524","분당선","강남구청","6114","7418","20250527"
"20250524","5호선","강동","15397","14821","20250527"
"20250524","8호선","강동구청","7522","7432","20250527"
"20250524","경의선","강매","2480","2138","20250527"
"20250524","2호선","강변(동서울터미널)","28750","27259","20250527"
"20250524","5호선","강일","5100","4473","20250527"
"20250524","경춘선","강촌","926","861","20250527"
"20250524","5호선","개롱","5108","5295","20250527"
"20250524","경인선","개봉","19610","18893","20250527"
"20250524","분당선","개포동","3587","3475","20250527"
"20250524","9호선","개화","1703","1449","20250527"
"20250524","5호선","개화산","4749","4505","20250527"
"20250524","5호선","거여","7765","7334","20250527"
"20250524","2호선","건대입구","40323","42068","20250527"
"20250524","7호선","건대입구","13234","14491","20250527"
"20250524","공항철도 1호선","검암","5303","5356","20250527"
"20250524","경강선","경기광주","6335","5947","20250527"
"20250524","과천선","경마공원","12324","12299","20250527"
"20250524","3호선","경복궁(정부서울청사)","29457","33466","20250527"
"20250524","3호선","경찰병원","4929","4746","20250527"
"20250524","공항철도 1호선","계양","10928","9926","20250527"
"20250524","5호선","고덕","8470","8003","20250527"
"20250524","6호선","고려대(종암)","7226","7948","20250527"
"20250524","수인선","고색","3542","3464","20250527"
